cleaned_text,label
hi kak dyeskidayough mohon maaf atas ketidaknyamananannya terkait kendala kakak alami pengecekan mohon informasikan detail kendalanya dm sosmed terimakasihsu,negatif
halo melakukan pembayaran melalui shopeepay padahal dana cukup mohon penjelasannya terima kasih,negatif
hi kak lookinghendery mohon maaf atas ketidaknyamanannya terkait kendala akun kakak terblokir aku bantu cek aku saranin kakak meginformasikan detail kendala kakak username shopee kakak dm social media sehat selaluyt,negatif
halo shopee terhormat akun terblokir saldo shopeepay nya banyak ajuin laporan katanya saldo nya balik kok enteng sekali dilihat lihat ambil hak orang,negatif
tanggal,netral
halo padahal akun uang k beli suatu barang terbeli padahal saldo nya sangat cukup,negatif
hai kak mizeleafl makasih menjadi pelanggan setia shopee aku menyarankan kakak cek berkala nantikan promopromo menarik shopee kak kalo kendalapertanyaan lainnya dm ig social media stay fit gs,negatif
balikin bonus download apk shopeepay rb koin kaya dulu dongg biar banyak download,negatif
halo shopee terhormat akun terblokir saldo shopeepay nya banyak ajuin laporan katanya saldo nya balik kok enteng sekali dilihat lihat ambil hak orang,negatif
sama weh stuck berapa lama bang,negatif
spx kosambi dc selama min,positif
haii kak faceame maaf bikin nyaman terkait kendala pesanan kamu alami aku bantu cek infoin username no pesanan kamu dm social media sehat selalu on,negatif
minnn kalau sengaja klik pesanan selesai shopee gimana bakal tetep dikirim jauh sekali soalnya kalau barang sesuai rusak,negatif
min kalau pas mau ngajuin spaylater muncul gini yaa,negatif
min hari topup mulu coba pakai metode pembayaran beda tetap gagal terus problem gimana deh,negatif
min cuma jabodetabek,positif
kepotong x loh min mohon pencerahannya,negatif
hi kak twelveoe maaf buat kamu nyaman terkait kendala kamu aku bantu infoin detail kendala kamu screenshot halaman kendala melalui dm instagram stay safe db,negatif
mau tutup spaylater spinjam bagaimana kirim email respon,negatif
mayan lama kak soalnya cek sama tim pusat pas aku mana mepet lebaran,negatif
eh tiba² nyedot shopeepay keterangannya pembayaran shopeefood padahal habis pesen apapun pegang hp kapan hari mbak gini dong,negatif
hi kak richarfiliana maaf buat khawatir terkait pulsa diterima shopee selalu memberikan pelayanan terbaik semua pengguna aku bantu pengecekan kakak infoin aku username ss bukti transaksi dm kak aku tunggu terima kasihui,negatif
min tadi beli pulsa pakai shopeepay pulsanya belom masuk saldo shopeepay tarik cek riwayat gimana dong,negatif
kak uang nya balik bank butuh berapa hari soalnya punyaku balik dana masuk,negatif
cuma bertanya terbuka,negatif
gblk nih bayar pakai gagal mulu pas didepan kasir x segala pakai autentikasi nunggu detik lama banget terus gagal benerin aplikasi luh bikin pusing,negatif
kenal mellsya,netral
hi kak anggigeegee maaf buat kamu nyaman terkait pengembalian dana kamu aku bantu infoin aku username nomor pesanan kamu melalui resmi x yaa stay safe nv,negatif
balik bank uangku rata hari asal rajin follow up terus cs shopee cs shopepay semua aku jabanin hhhh,negatif
flash sale pulsa jam berapa,negatif
shopee motong komisi sih guyss nov bayarnya ribu doang main affiliate komen,negatif
kalau tau berapa hari kak uangnya kakak masuk shopeepay setalah ngurus laporannya,negatif
ngurusnya kantor pusat kak cuma hubungi cs shopeepay,negatif
isi shopeepay mbanking transaksi berhasil masuk saldonya dm respon,positif
berhasil bolak balik nanya cs terus kak pokoknya selalu aku follow up terus biar dikerjain,positif
dananya kena reject sistem jadi ngurus sana sini pengalamanku up terus pihak syopinya biar satset diurusnya soalnya ngasih infonya kadang sepotong jd aku kmaren bolak balik urus,negatif
bantu viralin guys sumpah kasian sekali pihak driver oren potongan barang sebanyak mending kamu tobat kata banyak driver speak up pls jangan jahat perbaiki sistem kamu,negatif
melalui aplikasi shopeegtshopefoodgtpaket vouchergt paket sayagtbuka paket batalkan jangan sungkan chat aku dm ig kalo kamu pertanyaan kendala seputar shopee bq,negatif
hi kak sophiear jangan bingung terkait saldo shopee terpotong kakak melakukan pembatalan langganan voucher shopeefood,negatif
shopeepayku tiba-tiba kepotong k shopeefood padahal transaksi shopeefood aneh sekali,negatif
mau tanya dong admin nomor cs official shopee bukan,negatif
hai kak okkiyjellydrink mohon maaf atas ketidaknyamanannya terkait kendala kakak alami aku bantu kakak infoin screenshot rincian pembayaran gagal lewat dm ig yaa kak sehat selalu nz,negatif
sudaah masukk kamu kena masalah sama,negatif
hi kak spillshopp maaf buat resah terkait kendala kakak alami aku bantu cek yuk infoin kendala kamu lewat dm terimakasih fh,negatif
woi stop sih kasih notif kaya gini dikirain emang gagal bayar ternyata notif aktifin spaylater gua mau ngutang stop lah buat notif ambigu begini,negatif
mau follow up isi saldo shopeepay via dana va shopeepay tanggal april status dana berhasil saldo masuk shopeepay kirim bukti cs kejelasan mohon bantuannya segera,negatif
transfer dana va shopeepay tgl april status dana saldo masuk shopeepay mohon ditindaklanjuti segera,negatif
halo kak sekarang dananya bagaimana aku punya masalah sama nih haru kejelasan bantu info,negatif
aku saranin kakak cek berkala status pesanan waktu x jam depan kak kalau kendalapertanyaan terkait shopee kakak dm ig happy a great day yq,positif
hai kak serenadeofskies maaf atas ketidaknyamananya terkait kendala kamu alami kendala tersebut sedang penanganan tim terkait kak,negatif
hi kak rainssme maaf terkait kendala kamu alami aku bantu pengecekan kendala kamu mohon menghubungi aku melalui dm yaa terima kasihpt,negatif
kalo driver ambil senggaknya balikin duitnya otomatis lah kan pengen pesen tempat laen,negatif
kak maaf mau tanya kamu uangnya masuk yaa,negatif
balikin duit gua woii gua mau mamm allah,negatif
punyaku barusan sekali balik alhamdulillah,negatif
nangis sekali ih nunggu cs kayanya percuma nunggu kapan,negatif
aku kak gimana biar saldonya balik,negatif
bjirrrr duit k gua ketahan shopeefood grgr x order makanan nyari driver ampe sejam semuaaaaaa bjir refundddddddddd heh,negatif
mjb kak ternyata banyak kayak gini yaa tt punyaku dibatalin sepihak,negatif
pesanan shopeefood sedang membatalkan order mulu duit balikin dong nunggu jam kagak mulu sekali cancel status sedang dibatalkan seenggaknya kalau balikin duit guee,negatif
balikin duit bjirrrr lama dapet drivernya pas cancel duitnya ditahan jir,negatif
driver shopee food pd sihh nunggu menitt dapet² aku laparrrr kalau batalin saldonya bakal balik cepet,negatif
uangnya otomatis langsung balik min orderan dibatalkan driver pickup tadi,negatif
halo kak maaf kebales masuk replynya notif kemarin kasusku ketransfer jadi dibatalkan jam,negatif
aku rek bca kaa sama aku pindahin rek pending sekarang,negatif
malam kak mohon maaf atas ketidaknyamanannya tindaklanjuti mohon kesediaannya infokan kode pemesanan melalui dm ketik agent mengisi email amp no hp ditanyakan kak terima kasih sari,negatif
males jalan cuma m antri pakai promo ajalah beti sama harga dine in,netral
tau utang besar lek onlen wegah bunga e,negatif
oalah tak kiro beli barang pakai pay later terus tiap bulan,negatif
ora pinjam mek tuku bulan wingi bayare bulan saiki ra tau pinjam sebabe masio dikei kredit semunu tau digawe,negatif
aku pindahin saldo rekening masuk gimana kaa saldonya kepotong,negatif
iku pinjam nominale orip kok cicilane k,negatif
pakai jasa mana nih kangtaublast,positif
kakk mau tanya dong dulu akhirnya gimana ketransfer uangnya soalnya ngalamin,negatif
kepotong masuk sekarang,netral
alhamdulillah utang later bulan kemaren lunas,negatif
hi batalin subscription google play berhasil,positif
aku bantu cek terkait kendalanya infoin detail kendala kakak dm social media terimakasih kak sl,netral
hi kak vvhintaeges maaf bikin nyaman terkait kendala kakak alami selalu berusaha memberikan pelayanan terbaik pengguna shopee,negatif
sekarang kalo bayar pakai shopeepay fitur sih jadi bikin lama satset,negatif
ck gajelas cancel jauh jauhin deh dapet begini rugi,negatif
damnn shopiii pipipi,positif
kak mau tanya dong kemaren jadinya gimana ketransfer soalnya ngalamin,negatif
makannya penyelesaian sama sekali kalau chat cancel lah,netral
anjrit marah bnget da gua mah idih kagak jelas delivnya anjir apaan kek,negatif
punyaku dinyatakan hilang barusan udahlah,negatif
wkwkwk hilang,negatif
lah lama anjir beneran nyampe tu,negatif
satu komen ngaku cs shopee jangan ladenin skem soalnya,negatif
kemarin waktu beli pc kak ken punyaku abis beneran kirim memang pengiriman shopee lamban sekali paham kinerjanya makin bagus,negatif
bang gimane bang ngirim sekarang tanggal april belom nyampe kali followup hasilnya sama sekali malah paket diretur mohon kerja bener kalo mau kena cancel berjamaah,negatif
cek dm min,netral
min pi cek dm,netral
tanggung jawab jangan nama doang care,positif
tanggung jawab min punya hilanh pakai voc,positif
shopeepay error top up jam masuk masuk,negatif
cek dm,netral
hi kak z maaf buat risau soal kendala login shopee selalu memberikan pelayanan terbaik semua pengguna aku bantu kakak infoin aku detailnya dm kak aku tunggu terima kasihui,negatif
hi hi min aku mau login akun shopee nomer telfon aktif password benar login verifikasi email email tersebut hilangtidak aktif bantu aku akun tersebut min,negatif
blouse wanita linknya klik langsung terhubung shopee,negatif
hai kak galmonin maaf yaa terkait kendala kamu alami jangan khawatir yaa biar aku bantu lebih lanjut infoin username detail kendala kamu aku melalui dm have a nice day af,negatif
topup shopeepay lewat mbanking kok masuk saldonya x jam masuk tanya cs katanya suruh nunggu terus gimana dong woy,positif
min aku abis kena tipu bayarnya shopeepay qris dana diproses,negatif
tadi aku nemu komen katanya shopeepay plus cuma kali kak,negatif
kasian min kakak nya heheee,positif
syarat memenuhi klaim shopeepay thr apa yaa,positif
hi kak iiniibudii maaf buat khawatir terkait kendala kakak pengecekan lebih lanjut infokan detail kendala username ss kendala dm x aku tunggu vl,negatif
kalo berkendala kamu hubungi aku melalui dm sosial media shopee kak mengirimkan ss kendala nya stay safeil,negatif
hi kak maaf terkait kendala aplikasi kamu aku infoin pastiin jaringan internet kamu stabil aplikasi shopee kamu versi terbaru kamu clear cache lalu logout login coba berkala dlm x jam,negatif
samaaa,netral
iyaaa yaa kenapaa sihh,negatif
shopeepay aku kebuka pas buka link thr siang,negatif
shopeepayku error mulu plisss klik apa apaa tolongin dong,negatif
min gimana solusi nya paket batalkan sistem sama pihak gara barang nya telat antar alamat,negatif
orang menerima tersisa orang menerima total orang,negatif
hi kak baenilbee maaf buat khawatir aku balas dm satu per satu yaa mohon kesediaan kamu menunggu aku balas segerabz,negatif
hi kak itsjustlany maaf buat kecewa shopee selalu memberikan pelayanan terbaik semua pengguna aku bantu kendalanya kakak infoin aku username ss halaman spaylater kamu dm ditunggu kak sehat selalu cp,negatif
dm mohon dicek ditindaklanjuti,negatif
sih shopeepaylater aku dibatasin bayar selalu tepat waktu gapernah aneh heran deh dipakai apa bagaimana sih,negatif
hi kak ventchive maaf buat kecewa shopee selalu memberikan pelayanan terbaik semua pengguna aku bantu pengecekan kendalanya kakak infoin aku detail transaksi terkendala dm ditunggu kak stay healthy bz,negatif
mohon cek dm,netral
halo melakukan top up ewallet dana shopeepay jam lalu sedang diproses statusnya mohon segera ditindaklanjuti,negatif
apabila kendala kakak mmberikn ss review melalui dm sehat selalu sv,netral
hi kak hendrabalikin maaf kendalanya aku infoin kakak ikutin langkah berikut buat unlink vouchernya buka shopefoodgt klik paket vouchergtpilih paket sayagt buka paket batalkan,negatif
hi kak trasht maaf buat kecewa shopee selalu memberikan pelayanan terbaik semua pengguna aku bantu pengecekan kendalanya kakak infoin aku detail transaksi terkendala dm ditunggu kak stay healthy bz,negatif
min mau tanya tiba potongan shopee food padahal pesan apa,negatif
mau klaim thr shopeepay pas mencet layar putih doang padahal jaringan bagus hp kentank²,negatif
hai ka smktxscikoet maaf buat kamu nyaman terkait pengiriman pesanan aku saranin kamu menunggu estimasi tiba terlebih pengecekan mohon informasikan detail kendalanya via dm sosmed stay healthy s,negatif
mau nya apasih min kemarin sekarang,negatif
kak aku top up mbca kali kok masuk yaa padahal mutasi kepotong dibantu ka lumayan soalnya,netral
katanya Cuma klaim sekalii,netral
samaaa,netral
samaa ihh,netral
cuma sekali klaim ka,positif
aku klaim shopeepay thr gratis memenuhi syarat,positif
min sopipay aku kepotong pesanan terbayar,negatif
sekarang cuma klaim shopeepay thr sekali doang,negatif
sekarang shoopepay thr cuma klaim sekali doang dah gaseru,negatif
ih telat sekali,negatif
ih mau dong,negatif
uda kadaluwarsa waktu nyaa,netral
terima kasih atas infonya,negatif
aku telat kayaknya wkwk,negatif
aku mau ding kaa,positif
wow mauu dongg,positif
ih aku mau inii,negatif
yah telat deh aku,negatif
iyaa bener banget nih kaaa,negatif
mohh,negatif
mau dong ka,netral
seru sekali sih,netral
yah tau tadi coba,negatif
chat dm x kak aku dlu refund,negatif
allah kemarin ngewar tiket kai access udahlah timeout jadwal tersedia sekarang malah saldonya kesedot payment nya gagal plss lahhh walo Cuma dapet batagor bungkus solusinya deh min,negatif
yah sayang sekali baru liat,negatif
terima kasih atas infonya,negatif
wahh mntab nih,negatif
telat deh,negatif
otw jadi pembalap thr,negatif
wihh coba ah,netral
wih nih,negatif
aku mau donggg thrnya,negatif
waaa seger sekali thrnyaa,negatif
aku mau sekali sih kak,negatif
mau thr,negatif
padahal hari mulung ih,netral
limit kali kaa aku mulung shopeepay x lagii,negatif
iyaaaa woi,netral
alasannya memenuhi syarat sih padahal shopeepay ku plus,netral
sama ih,positif
kok shopeepay aku mulung shopeepay thr padahal lumayan beli cilok,negatif
wah sih kak,netral
ayo merapat mau,negatif
wahh mau dong,negatif
kak akuu,netral
yah aku shopeepay,negatif
ma atuh gimana caranya,netral
aku mau bangttt,negatif
wahh mau kak hehehe,negatif
wihh kerenn sihh,netral
dapet yah,negatif
aku mau min,positif
aku mau sekali sihh,positif
kayaknya aku telat deh,negatif
wah mau dong,positif
mau sekali sih,negatif
halo hari transfer shopee pay bank dki proses terus sukses dana terpotong bagaimana kelanjutannya mohon bantuannya terima kasih,positif
iya benr bangett sih yaaa,negatif
wah mau aku kakkk,negatif
kebagian sih,netral
aku telat,negatif
iya bener sekali sih,netral
nah seru sekali sih,netral
wah lumayan banget nihh,negatif
aku mau thr,negatif
wahh telatt banget aku,negatif
duhh aku telat nih,negatif
keduluan nii min,positif
wah mau dong,positif
terbatas yaa ko sih,netral
bentar kak,netral
wah makasih sih kak tipsnya,netral
akuuu telat dapet yaa kayanya inii,negatif
aku dapet sih kak,negatif
wah nih,negatif
woahhh mau coba dong,netral
sih aku kak,negatif
yudah telat banget aku,negatif
